Unnamed: 0,conversation,original_data,original_label,actual_insertion_turn,verifier_explanation,verifier_sentiment_detected,contains,conv_length
83,"Turn 1
A: Ugh, I can't believe how much there is to do before Christmas. I feel like I'm drowning in preparations, especially with the pressure to cook this huge meal for everyone. I'm soo excited to cook a three course Christmas dinner for my whole family this year!
B: I hear you. It sounds overwhelming. Have you thought about simplifying the menu or maybe asking family members to bring a dish to share the load?

Turn 2
A: I did consider that, but I feel like everyone expects me to do it all. It's kind of become a tradition, you know?
B: Traditions are important, but so is your sanity. Maybe you could start a new tradition this year—one where everyone pitches in. It could make the day more enjoyable for you and still be special for everyone.",I'm soo excited to cook a three course Christmas dinner for my whole family this year!,sarcastic,1,"Yes, I agree that A was being sarcastic. The initial part of A's statement expresses frustration and feeling overwhelmed with the preparations, which contrasts with the overly enthusiastic tone of ""I’m soo excited to cook a three course Christmas dinner for my whole family this year!"" This suggests that A is not genuinely excited but rather sarcastically expressing their stress.",1,True,752
97,"Turn 1
A: Can you believe those government officials attended a holiday party while we were all stuck at home? It's so frustrating to see such blatant double standards.So glad the christmas lockdown rules didnt apply to our poor hard working government
B: I know, right? It's like they think the rules don't apply to them. I couldn't even visit my parents for Christmas, and they just go ahead and have a party.

Turn 2
A: Exactly! We made so many sacrifices to keep everyone safe, and then they just ignore the restrictions. It feels like a slap in the face.
B: Totally. It makes you wonder if they even understand what we're going through. I mean, I haven't seen my grandparents in over a year because of this.",So glad the christmas lockdown rules didnt apply to our poor hard working government,sarcastic,1,"Yes, A was being sarcastic. The phrase ""So glad the christmas lockdown rules didnt apply to our poor hard working government"" is clearly meant to highlight the unfairness and double standards, implying the opposite of what is literally stated.",1,True,712
4,"Turn 1
A: Hey B, I just wanted to say I love your recent posts! Your travel photos are amazing, and that recipe you shared looked delicious.
B: Thanks, A! I noticed you've been liking a lot of my stuff lately. It means a lot to me that you're so supportive.

Turn 2
A: Of course! Your content is always so interesting and fun. I especially enjoyed the video you posted from your hike last weekend. Clapped out the post twice now. It looked like such a great adventure.
B: I'm glad you liked it! That hike was incredible. I was thinking of doing a blog post about it. Do you think people would be interested in reading more details?",Clapped out the post twice now.,not sarcastic,2,"Yes, I agree. A's comment ""Clapped out the post twice now."" is consistent with the positive and supportive tone of the conversation. A is expressing genuine enthusiasm and appreciation for B's content.",1,True,631
100,"Turn 1
A: You know, I'm really frustrated with all the mixed messages we're getting from officials about the holidays. One day they say it's okay to gather in small groups, and the next day they're warning us to stay home. Really impressed with the clear and unified messages coming from the government re Omicron and socialising over xmas!!
B: I know exactly what you mean. It's so confusing trying to figure out what's actually safe. I want to see my family, but I also don't want to put anyone at risk.

Turn 2
A: Exactly! I was thinking of having a small get-together, but now I'm second-guessing everything. It's hard to make plans when the guidelines keep changing.
B: Same here. I was planning to visit my grandparents, but now I'm worried it might not be the best idea. Maybe we should just do a virtual celebration this year.",Really impressed with the clear and unified messages coming from the government re Omicron and socialising over xmas!!,sarcastic,1,"Given the context of the conversation, where A expresses frustration about the mixed messages from officials, it is clear that A's statement about being ""really impressed with the clear and unified messages"" is sarcastic. A is actually highlighting the lack of clear and consistent guidance.",1,True,834
11,"Turn 1
A: ""Ugh, I have to go shopping with my sister later. Really looking forward to going Christmas shopping with my anti-vax, anti-mask, global conspiracy believing sister this weekend.  She's been on this whole 'the pandemic is a hoax' kick, and it's driving me insane.""
B: ""Oh no, that sounds rough. I can imagine how frustrating that must be for you.""

Turn 2
A: ""Yeah, it's like every time we talk, she brings up some new conspiracy theory. I just want to get through the day without a headache.""
B: ""Maybe you could try steering the conversation to safer topics? Or, if it gets too much, just take a break and step away for a bit.""","Really looking forward to going Christmas shopping with my anti-vax, anti-mask, global conspiracy believing sister this weekend.",sarcastic,1,"A's statement ""Really looking forward to going Christmas shopping with my anti-vax, anti-mask, global conspiracy believing sister this weekend."" is likely sarcastic because it follows a complaint about having to go shopping with their sister, who holds views that A finds frustrating and difficult to deal with.",1,True,639
51,"Turn 1
A: Hey, how's your day been so far?
B: Oh, it's been alright. I went to McDonald's earlier, but it was such a hassle. The line was ridiculously long, and when I finally got my food, it was pretty disappointing.

Turn 2
A: Ugh, that's the worst. Went to McDonalds today, unfortunately there was a long wait, which meant that my food was cold and not like the photo in the restaurant What did you order?
B: Just a simple burger and fries, but the burger was cold and the fries were soggy. Not exactly what I was hoping for.","Went to McDonalds today, unfortunately there was a long wait, which meant that my food was cold and not like the photo in the restaurant",not sarcastic,2,A's statement in Turn 2 seems to be empathetic and sharing a similar experience rather than sarcastic. A is commiserating with B by sharing their own negative experience at McDonald's.,1,True,528
56,"Turn 1
A: You know, it's a shame how some really talented artists never get the recognition they deserve. Like, they have all this amazing music, but they just don't get the spotlight. Im just gonna go out there and say it… Chas and Dave are underrated in my opinion.
B: Absolutely. Take Chas and Dave, for instance. I feel like they're so underrated. Their music is so catchy and full of character, but you hardly hear people talking about them these days.

Turn 2
A: Oh, totally! Their blend of rock and roll with a bit of cockney charm is just unique. ""Ain't No Pleasing You"" is such a classic, but it seems like only a few people really appreciate it.
B: Exactly! And their live performances were something else. They had this incredible energy and connection with the audience. It's a real shame they don't get more credit for their contribution to music.",Im just gonna go out there and say it… Chas and Dave are underrated in my opinion.,not sarcastic,1,"A's statement about Chas and Dave being underrated is consistent with the context of the conversation, where both A and B are discussing how talented artists often don't get the recognition they deserve. A's comment appears to be a genuine expression of their opinion.",1,True,860
64,"Turn 1
A: I wanted to show you this video from our family reunion last summer. this video is very special to me It was such a special day for all of us.
B: Oh, I remember that day! It was so wonderful to see everyone together. Let's watch it.

Turn 2
A: Look, there's Grandma dancing with the kids. She was so happy that day.
B: She looks so joyful. It's moments like these that remind us how important family is. Thank you for sharing this with me.",this video is very special to me,not sarcastic,1,"A's statement about the video being very special to them is consistent with the context of sharing a meaningful family memory. The tone of the conversation is warm and nostalgic, indicating sincerity rather than sarcasm.",1,True,449
21,"Turn 1
A: Hey B, do you have a moment to help me with this project? I'm stuck on a part and could really use your input.I am very sorry but I do not have time for this now.  I need o be somewhere.
B: Oh, A, I wish I could help right now, but I'm swamped with a deadline and have an important meeting in 15 minutes. Can we catch up later today?

Turn 2
A: I understand, B. I didn't realize you were so pressed for time. How about we touch base after your meeting? Would that work for you?
B: That sounds good. I'll be free around 3 PM. Let's connect then, and I'll be happy to assist you with the project.",I am very sorry but I do not have time for this now.  I need o be somewhere.,not sarcastic,1,"The statement ""I am very sorry but I do not have time for this now. I need o be somewhere."" was actually made by B, not A. B's response was straightforward and sincere, explaining their current situation and offering to help later. There is no indication of sarcasm in B's response.",1,True,604
87,"Turn 1
A: ""Oh great, my first driving lesson. Can't wait to go for my first driving lesson today. The thought of getting into a metal death trap that kills thousands of people every year just fills me with joy! Can't wait to become a human bumper car.""
B: ""Come on, you'll be fine! Remember, everyone starts somewhere. Plus, you have the reflexes of a cat... a slightly clumsy cat, but still!""

Turn 2
A: ""Yeah, a cat that's had too much catnip. I'm going to be a disaster.""
B: ""If you can survive our late-night pizza runs, you can handle this. Just think of it as another adventure, but with fewer toppings and more traffic rules.""",Can't wait to go for my first driving lesson today. The thought of getting into a metal death trap that kills thousands of people every year just fills me with joy!,sarcastic,1,"Yes, A was being sarcastic. The exaggerated negative description of a car as a ""metal death trap that kills thousands of people every year"" and the phrase ""just fills me with joy"" are clear indicators of sarcasm.",1,True,633
