Unnamed: 0,conversation,original_data,original_label,actual_insertion_turn,verifier_explanation,verifier_sentiment_detected,contains,conv_length
11,"Turn 1
A: You know, our set pieces have been really lacking lately, especially corners and free kicks. We are missing cress or Bowen for our corners and freekicks have been pretty poor so far. It's like we're missing that spark.
B: Yeah, I noticed that too. Without our key players, it's like we don't have anyone who can really step up in those moments.

Turn 2
A: Exactly. When we had Carlos and Jamie, we were always a threat from set pieces. Now, it feels like we're just going through the motions.
B: True, their absence is definitely felt. Maybe the coach needs to work on some new strategies or give some of the younger players a chance to prove themselves in those situations.",We are missing cress or Bowen for our corners and freekicks have been pretty poor so far.,not sarcastic,1,A's statement about missing Cress or Bowen for corners and free kicks appears to be a genuine observation about the team's performance. There is no indication of sarcasm in the context provided.,1,True,684
1,"Turn 1
A: Did you see how fast that guy finished the marathon? It just doesn't seem right.
B: Yeah, I noticed. He was way ahead of everyone else. Do you think something's up?

Turn 2
A: Honestly, I wouldn't be surprised if he was using performance-enhancing drugs. Smashing records and recently won a race by 38 seconds.

Does anyone genuinely think this is fair? His improvement was just too drastic.
B: That's a serious accusation, but I get where you're coming from. It does make you question the integrity of the competition.","Smashing records and recently won a race by 38 seconds.

Does anyone genuinely think this is fair?",not sarcastic,2,"A's statement appears to be a genuine expression of concern about the fairness of the competition, given the drastic improvement and record-breaking performance. There is no indication of sarcasm in A's tone.",1,True,529
97,"Turn 1
A: ""I'm really excited because I'm expecting a significant payment today. Money is going to locate me today . Claiming this It's either my paycheck, a bonus, or maybe even that refund I've been waiting for.""
B: ""That's awesome! Do you have any plans for the money once it arrives?""

Turn 2
A: ""Yeah, I was thinking of finally getting that new laptop I've been eyeing. Plus, I need to cover some bills.""
B: ""Sounds like a solid plan. Let me know if you need any help picking out the laptop!""",Money is going to locate me today . Claiming this,not sarcastic,1,"Based on the context, A is expressing genuine excitement and anticipation about receiving a significant payment. There is no indication of sarcasm in A's statement.",1,True,497
29,"Turn 1
A: I'm really worried about the Union Chapel show. If we have to cancel, it would be such a blow, both financially and emotionally.
B: I know, it's been such a tough couple of years. But we have to think about everyone's health and safety first. It's a delicate balance.

Turn 2
A: Absolutely, the safety of our cast and crew is paramount. After the two years we've just had, the loss of twenty shows just before Christmas…if we lose our Union Chapel show too it'll be devastating. But I'd rather be safe than dead Still, it's hard not to feel the weight of another potential cancellation.
B: It is hard, but maybe we can look into some virtual options or smaller, safer gatherings to keep the spirit alive. We've been resilient so far; we can find a way through this too.","After the two years we've just had, the loss of twenty shows just before Christmas…if we lose our Union Chapel show too it'll be devastating. But I'd rather be safe than dead",not sarcastic,2,"A's statement ""But I'd rather be safe than dead"" is a serious expression of concern for health and safety, especially given the context of discussing the impact of potential cancellations due to health risks. There is no indication of sarcasm; rather, it reflects a genuine prioritization of safety over financial and emotional losses.",1,True,779
2,"Turn 1
A: I just read that article about the new policy changes, and honestly, it really worries me. This makes me feel uneasy ngl It feels like they're not considering the impact on vulnerable communities at all.
B: I get what you mean. It's frustrating to see decisions being made without taking everyone's needs into account. How are you holding up?

Turn 2
A: I'm trying to stay positive, but it's hard when it feels like things are moving in the wrong direction. I just hope there's still room for public input.
B: Absolutely. It's important to stay informed and speak up. Maybe we can find a way to get involved and make our voices heard.",This makes me feel uneasy ngl,not sarcastic,1,"A's statement ""This makes me feel uneasy ngl"" expresses genuine concern and unease about the new policy changes. The context of the conversation shows that A is worried about the impact on vulnerable communities, which indicates a sincere sentiment rather than sarcasm.",1,True,644
19,"Turn 1
A: ""Wow, what a week! I'm so glad it's finally over. What a week, more than ready for tomorrow morning, up bright and early I'm really looking forward to getting an early start tomorrow for that new project.""
B: ""I know, right? This week was brutal. But yeah, the new project sounds exciting. It'll be nice to work on something fresh.""

Turn 2
A: ""Absolutely. I think it'll be a great change of pace. Plus, I heard we might get some new tools to help us out.""
B: ""That sounds awesome! Let's make sure we get a good night's rest so we can hit the ground running in the morning.""","What a week, more than ready for tomorrow morning, up bright and early",not sarcastic,1,A's statement about being ready for tomorrow morning and looking forward to getting an early start on the new project suggests genuine enthusiasm and anticipation. There is no indication of sarcasm in the context provided.,1,True,584
5,"Turn 1
A: I'm really stressed about finding a timely appointment for my medical check-up. It feels like everywhere I call is booked for weeks.
B: I totally understand. I was in the same boat last month. But I found this online service that helped me get an appointment within a few days. It was such a relief.

Turn 2
A: Really? That sounds amazing. Top tip - worked for me. Appointments available as early as tomorrow. What service did you use?
B: It's called QuickMed. You just enter your details and they match you with available slots nearby. It worked like a charm for me.",Top tip - worked for me. Appointments available as early as tomorrow.,not sarcastic,2,"Based on the context, A is genuinely interested in finding a solution for their problem and is expressing enthusiasm about the possibility of getting a timely appointment. The phrase ""Top tip - worked for me. Appointments available as early as tomorrow."" indicates that A is appreciative and hopeful about the recommendation.",1,True,577
15,"Turn 1
A: Did you hear about that burglary at the corner store last week? It makes me feel a lot safer knowing the MET Police don't investigate crimes after they happen.The police didn't even bother to investigate.
B: Oh, fantastic. I feel so ""safe"" knowing the police are just ignoring crimes now.

Turn 2
A: It's really frustrating. How are we supposed to trust them to keep us safe if they don't follow up on these things?
B: Exactly. It's like they're just waiting for things to get worse before they do anything about it.",It makes me feel a lot safer knowing the MET Police don't investigate crimes after they happen.,sarcastic,1,"Yes, A was being sarcastic. The phrase ""It makes me feel a lot safer"" is used ironically to express the opposite sentiment, highlighting frustration and disappointment with the police's lack of action.",1,True,526
33,"Turn 1
A: Whew, what a drive! The rain was coming down so hard, I could barely see the road. It was awfully wet on the roads today it was hard driving conditions but i have made it in
B: I can imagine. It was pretty bad when I got here too. Glad you made it safely.

Turn 2
A: Thanks. I was worried I'd be late, but luckily traffic wasn't as bad as I expected.
B: That's good to hear. Hopefully, it clears up by the time we leave. Stay dry!",It was awfully wet on the roads today it was hard driving conditions but i have made it in,not sarcastic,1,A's statement about the driving conditions being difficult due to the rain appears to be a straightforward description of their experience. There is no indication of sarcasm in their words.,1,True,440
66,"Turn 1
A: Thanks again for helping me out, B. I really appreciate it.
B: No problem, A. I'm always here for you. But, you know, I miss our regular chats. It feels like we only talk when there's a crisis.

Turn 2
A: You're right. I've been so caught up with everything that I haven't made enough effort to stay in touch. You need to be friendly and in contact when you don't need any help, friends should be in contact all the time , not only when they need help. I'm sorry about that.
B: It's okay. I just want us to be there for each other, not just in tough times but in good times too. Let's make an effort to catch up more often.","You need to be friendly and in contact when you don't need any help, friends should be in contact all the time , not only when they need help.",not sarcastic,2,"A's statement acknowledges the importance of maintaining regular contact with friends, not just during times of need. This indicates a genuine recognition of the value of consistent friendship, rather than sarcasm.",1,True,633
86,"Turn 1
A: ""I can't believe how disappointing this trip has been so far. This holiday is not going the way i thought it was - food is bad, service is attrociousThe food was terrible, and nothing seems to be going right.""
B: ""I know, it's really frustrating. We had such high hopes for this holiday. Maybe we can find something fun to do tomorrow to turn things around?""

Turn 2
A: ""Yeah, I guess we could try to make the best of it. Maybe we can check out that hiking trail we saw in the brochure?""
B: ""That sounds like a good idea. Let's plan for that and see if we can salvage the rest of the trip. I'm sure we'll find something enjoyable.""","This holiday is not going the way i thought it was - food is bad, service is attrocious",not sarcastic,1,"A's statement expresses genuine disappointment and frustration about the holiday, indicating that they are not being sarcastic but rather sincere in their dissatisfaction.",1,True,641
